ID,区分,聞きたいこと,こちらの仮説,選択肢A,選択肢B,選択肢C,この答えで決まること,回答（空欄）
V1,目的,このサービスを作る一番の目的は？,自分の記録が続く仕組みが第一。人に見せるのは二の次,自分用の記録が主。公開はおまけ,友人に見せて反応をもらうのが主,他人にも使ってもらい広げたい,開発の優先順位すべて,A
V2,目的,やめる基準は？,半年使って自分が記録をやめたら畳む,自分が使い続ける限り続ける,ユーザーが増えなければ畳む,期限は決めない,機能を増やす範囲、費用の上限,A
T1,ターゲット,最初に使ってほしいのは誰？,自分と、旅好きの友人数人,自分だけ,招待した友人・知人（〜10人）,誰でも登録可,認証の作り方。友人までならログイン簡易化、誰でもなら本格的な作り替えが必要,C
T2,ターゲット,閲覧者（見るだけの人）は誰を想定？,友人・SNSのフォロワー,知り合いだけ（URLを渡した人）,誰でも（検索にも出る）,見せない（自分だけ）,検索避けの設定、プロフィールの作り、炎上リスクの大きさ,B
T3,ターゲット,旅の種類は？,国内の車移動が中心。日常の記録も混ざる,長期旅行・遠出が中心,日常＋近場も含めて全部,海外旅行も重視,地図の縮尺、支出の通貨対応、カテゴリ構成,C
X1,体験,記録する瞬間に一番大事なのは？,止まらずに数秒で終わること,速さ（ワンタップ）,入力項目の豊富さ,あとから編集できること,記録画面の項目数、編集機能の優先度,A
X2,体験,記録が続く動機は何だと思う？,あとで地図が埋まっていくのが楽しい,地図が埋まる達成感,支出が自動で集計される実利,人からの反応（いいね等）,演出の作り込み先。SNS機能の要否,ログがたまること
X3,体験,見る人に何を感じてほしい？,旅の流れが一目で分かる気持ちよさ,旅程を追体験できる,行き先の参考になる,金額感が分かって役立つ,公開ページの情報の出し方、再生機能の要否,A
X4,体験,写真の位置づけは？,なくてもよい。メモと位置が主役,写真が主役（Instagram的）,文章と位置が主役,どちらも同程度,R2の費用、投稿の形、一覧の見せ方,場所と感情
S1,戦略,調査で見つかった空白のどれを狙う？,軌跡×支出。既存に見当たらず実装も小さい,軌跡×支出（地図で出費が読める）,PCで見られる公開タイムライン（Googleが終了した席）,公開の粒度を選べる設計（ぼかす・遅らせる）,今後3か月の開発内容,これAはすでにあるでしょ? 支出金額記録できるんだからさで さらに私の場合は全オープンにしたいので今の口座残高とか旅の予算 旅の予算に対する支出と収益みたいな感じでかけたらいいんじゃないかなで PCで見られる公開タイムラインっていうのはちょっと意味わかんないので説明が欲しいです公開の流動を選べる設計は必要ですね
S2,戦略,収益化は考える？,考えない。自分用なら費用は月数百円,考えない（自費で維持）,将来的に有料プランを検討,フォトブック等の物販,機能の作り方、無料枠の設計,収益化をしたいですが別にお金が欲しいわけではないので投げ銭とかそういう支援機能みたいな形がいいですねあんまり資本主義的にやりたくないです
S3,戦略,他サービスからの乗り換えを取りに行く？,Googleタイムライン難民は実在するが、対応コストは中,取りに行く（Takeout/GPX取り込みを作る）,取りに行かない,様子を見る,取り込み機能の優先度,ただ基盤設計をするのが先ですね
S4,戦略,宣伝はする？,しない。まず自分が使い倒す,しない,友人にだけ見せる,SNSで公開して反応を見る,モデレーション体制、利用規約の要否,a
F1,機能,ネイティブアプリは必要？,まずPWAで十分。審査とモデレーション義務を避けられる,PWA（ホーム画面から1タップ）,ネイティブアプリ（年1.5万円＋審査）,まずPWA、必要ならアプリ,開発期間、Appleの投稿ガイドライン対応の要否,a
F2,機能,プロフィールに何を持たせる？,名前とひとことで十分,名前・アイコン・ひとこと,訪問地の統計（県数・距離）も出す,フォロー機能まで作る,複数ユーザー対応の規模、DB設計,c
F3,機能,他人の記録を見る導線は？,当面は不要。URLを渡すだけ,URLを渡すだけ,一覧・タイムラインを作る,フォロー＆フィードを作る,SNS化の深さ。通報・ブロック機能の要否,c
F4,機能,反応の仕組みは？,いらない。反応目当てにすると続かない,なし,いいねだけ,コメントも,モデレーションの負担、通報導線の要否,ここも何かしら既存のSNSへのアンチ提示を盛り込みたいところですね
F5,機能,位置の常時記録（バックグラウンド）は要る？,不要。記録時に取れれば足りる,不要（記録時のみ）,欲しい（軌跡が自動で埋まる）,歩いた線まで欲しい,ネイティブアプリの要否、電池とプライバシーの扱い,欲しいけど最初は難しいと思うので記録の時だけでいいですただモードとして位置情報を記録するためだけのワンタップ入力みたいなのが欲しいんですよね時刻と位置とが分かるようにワンタップでそれを記録できるようなその場所の情報であるとか金額とかそういうのは必要ないんでもうほんまやったらあかんけど車の中車を運転中に携帯でワンタップでポチッで記録追従できるみたいなそんな感じの機能が欲しいですね
F6,機能,今ない機能で一番困っているのは？,記録の編集・削除ができないこと,記録の編集・削除,旅の付け替え（記録ごと）,検索・絞り込み,次に作る機能,そうですね、旅の記録の編集をしたいですかね
F7,機能,支出の見せ方は？,旅ごとの合計と、地図上の金額,旅ごとの合計,日別・カテゴリ別の内訳,1kmあたり等の指標も,集計画面の作り込み,これは自由に設定できるようにしてほしいですね。パラメーターをいくつか使って作ってその中でフィルタリングして集計する
P1,公開,自宅や職場の位置はどう扱う？,起床・就寝の位置は隠したい,そのまま公開（今の状態）,特定の地点だけ隠す,市区町村までぼかす,公開処理の作り。事故防止の要,これはどうやっても特定の情報にはされちゃうのでだってね旅行行く時も就寝と起床の場所は記録しなくてもその直前の位置とかそのあたりの情報で終えちゃうじゃないですかここをどうしましょうねっていうのは非常に困っているまあ私が使う場合は全部公開していいですなんでそういう段階を持たせてもいいかもしれないですね
P2,公開,公開の時差は？,即時でよい,即時,数日遅らせる,旅が終わってからまとめて,公開処理の作り、安全性,ここもモードを持たせておきましょう
P3,公開,金額は誰まで見せる？,全部公開でよいと即答があった,誰でも,知り合いだけ,非公開に戻す,公開ページの情報量,これも設定で変えられるようにしておきましょう。
R1,運用,他人のデータを預かる覚悟はある？,まだない。1人運用では重い,預からない（自分だけ）,友人の分まで預かる,誰の分でも預かる,個人情報保護法の対応、削除請求への備え、認証の作り替え,ありますがプライバシーポリシー等で事前に定めておく必要がありますね自己責任ですよという範囲で
R2,運用,月にかけられる費用の上限は？,千円以内,0円（無料枠のみ）,〜千円,〜5千円,写真の枚数・大きさの上限、機能の選択,最初は私だけの利用になると思うので1000円くらいくつかねあとはユーザー1人当たり月1000円もかけてたらそんな収益ができないんでユーザー1人当たりの月のコストは100円くらいに抑えたいですねなんならAIも使わないんでそんなコスト発生しないと思いますAI側を使ったとしたら100円ぐらいトークン含めてって感じですかね
R3,運用,開発に使える時間は？,週に数時間,週2時間以下,週2〜10時間,それ以上,機能の量と期限,開発の量は気にしなくていいですAIにやらせるんで
